shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
2,PASS,1,128,128,4,4,128,True,PASS,0.00112313,4.34172,0,81920,1.7851,1.7851,71705.15,1.1641,1.1641,109953.55,1.533,2.692,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 0 --repeats 1 --benchmark-rounds 1 --seed 1234 --matmul-precision high --causal
7,PASS,64,128,32,4,4,32,True,PASS,0.00159305,93.0999,0,1310720,1.8023,1.8023,4545212.49,1.1778,1.1778,6955198.62,1.53,2.573,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 0 --repeats 1 --benchmark-rounds 1 --seed 1234 --matmul-precision high --causal
10,PASS,64,128,128,2,4,128,True,PASS,0.00128704,295.004,0,5242880,1.806,1.806,4536111.82,1.1732,1.1732,6982516.52,1.539,2.602,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 0 --repeats 1 --benchmark-rounds 1 --seed 1234 --matmul-precision high --causal
