shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
2,PASS,1,128,128,4,4,128,True,PASS,0.00111139,11.8809,0,81920,1.8129,1.8129,70606.51,1.1698,1.1698,109424.16,1.55,2.555,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 0 --repeats 1 --benchmark-rounds 1 --seed 1234 --matmul-precision high --causal
7,PASS,64,128,32,4,4,32,True,PASS,0.00163698,276.973,0,1310720,1.8167,1.8167,4509344.64,1.188,1.188,6895436.98,1.529,2.569,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 0 --repeats 1 --benchmark-rounds 1 --seed 1234 --matmul-precision high --causal
10,PASS,64,128,128,2,4,128,True,PASS,0.00150317,1061.4,0,5242880,1.7937,1.7937,4567024.67,1.1839,1.1839,6919292.94,1.515,2.593,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 0 --repeats 1 --benchmark-rounds 1 --seed 1234 --matmul-precision high --causal
