shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
2,PASS,1,128,128,4,4,128,True,PASS,0.00119352,6.4587,0,81920,1.8067,1.8067,70847.87,1.1838,1.1838,108122.72,1.526,2.602,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 0 --repeats 1 --benchmark-rounds 1 --seed 1234 --matmul-precision high --causal
7,PASS,64,128,32,4,4,32,True,PASS,0.00163698,276.973,0,1310720,1.8159,1.8159,4511251.64,1.1679,1.1679,7014275.03,1.555,2.612,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 0 --repeats 1 --benchmark-rounds 1 --seed 1234 --matmul-precision high --causal
10,PASS,64,128,128,2,4,128,True,PASS,0.00173891,3365.03,0,5242880,1.8062,1.8062,4535549.27,1.268,1.268,6460730.57,1.424,2.569,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 0 --repeats 1 --benchmark-rounds 1 --seed 1234 --matmul-precision high --causal
