shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
2,PASS,1,128,128,4,4,128,True,PASS,0.00114284,6.49237,0,81920,1.811,1.811,70677.62,1.1736,1.1736,109069.09,1.543,2.606,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 0 --repeats 1 --benchmark-rounds 1 --seed 1234 --matmul-precision high --causal
7,PASS,64,128,32,4,4,32,True,PASS,0.00179082,242.089,0,1310720,1.8141,1.8141,4515628.27,1.1814,1.1814,6934286.91,1.536,2.603,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 0 --repeats 1 --benchmark-rounds 1 --seed 1234 --matmul-precision high --causal
10,PASS,64,128,128,2,4,128,True,PASS,0.00134724,1046.02,0,5242880,1.7987,1.7987,4554349.75,1.1775,1.1775,6957089.23,1.528,2.594,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 0 --repeats 1 --benchmark-rounds 1 --seed 1234 --matmul-precision high --causal
