shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
2,PASS,1,128,128,4,4,128,True,PASS,0.00114262,6.82539,0,81920,1.7993,1.7993,71137.67,1.1826,1.1826,108233.9,1.521,2.588,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 0 --repeats 1 --benchmark-rounds 1 --seed 1234 --matmul-precision high --causal
7,PASS,64,128,32,4,4,32,True,PASS,0.00163698,276.973,0,1310720,1.8166,1.8166,4509503.55,1.2163,1.2163,6735247.08,1.494,2.603,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 0 --repeats 1 --benchmark-rounds 1 --seed 1234 --matmul-precision high --causal
10,PASS,64,128,128,2,4,128,True,PASS,0.0013293,2008.59,0,5242880,1.7827,1.7827,4595390.37,1.1898,1.1898,6885051.99,1.498,2.606,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 0 --repeats 1 --benchmark-rounds 1 --seed 1234 --matmul-precision high --causal
