checkpoint_id,checkpoint_label,shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
v2,V2 SDPA,1,PASS,64,128,128,4,4,128,True,PASS,0.00105309,2134.02,0,5242880,1.73,1.7434,4735303.79,1.3008,1.3162,6297740.48,1.33,2.738,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v2,V2 SDPA,2,PASS,1,128,128,4,4,128,True,PASS,0.000710994,9.34742,0,81920,1.7262,1.74,74151.66,1.3072,1.3226,97921.61,1.321,2.723,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v2 --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v2,V2 SDPA,3,PASS,4,128,128,4,4,128,True,PASS,0.000934541,41.1025,0,327680,1.8021,1.8139,284118.65,1.3424,1.3576,381420.07,1.342,2.761,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v2 --device cuda:0 --dtype float32 --batch-size 4 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v2,V2 SDPA,4,PASS,16,128,128,4,4,128,True,PASS,0.000914633,2134.02,0,1310720,1.7006,1.7128,1204309.15,1.2859,1.2981,1592653.9,1.322,2.7,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v2 --device cuda:0 --dtype float32 --batch-size 16 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v2,V2 SDPA,5,PASS,128,128,128,4,4,128,True,PASS,0.00107861,2134.02,0,10485760,1.7768,1.789,9220822.4,1.333,1.3447,12291146.92,1.333,2.747,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v2 --device cuda:0 --dtype float32 --batch-size 128 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v2,V2 SDPA,6,PASS,10000,128,128,4,4,128,True,PASS,0.0013275,124800000.0,0,819200000,177.4614,177.515,7212835.41,92.0314,92.2965,13908295.55,1.928,89.321,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v2 --device cuda:0 --dtype float32 --batch-size 10000 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v2,V2 SDPA,7,PASS,64,128,32,4,4,32,True,PASS,0.00131607,127.81,0,1310720,1.7322,1.7432,4729180.56,1.3077,1.3174,6264452.97,1.325,2.688,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v2,V2 SDPA,8,PASS,64,128,1024,4,4,1024,True,PASS,0.0011361,1211.26,0,41943040,6.7006,6.7068,1222584.41,6.6151,6.622,1238372.09,1.013,6.325,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 1024 --heads 4 --ffn-dim 1024 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v2,V2 SDPA,9,PASS,64,128,128,1,4,128,True,PASS,0.00115407,253.771,0,5242880,1.5642,1.5768,5237048.09,1.3256,1.3373,6179768.49,1.18,2.646,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 1 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v2,V2 SDPA,10,PASS,64,128,128,2,4,128,True,PASS,0.00101042,374.601,0,5242880,1.7161,1.728,4773625.76,1.2977,1.3088,6312804.58,1.322,2.727,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
