checkpoint_id,checkpoint_label,shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
v4_2,V4.2 SDPA dispatch,1,PASS,64,128,128,4,4,128,True,PASS,0.00159806,16270.0,0,5242880,1.7444,1.7731,4696299.87,0.1652,0.1656,49583575.77,10.558,8.341,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,2,PASS,1,128,128,4,4,128,True,PASS,0.00109094,15.9146,0,81920,1.7641,1.7922,72556.44,0.1098,0.1128,1166180.74,16.073,8.769,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,3,PASS,4,128,128,4,4,128,True,PASS,0.00114536,131.997,0,327680,1.8189,2.0185,281494.39,0.1169,0.121,4378763.14,15.555,8.781,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 4 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,4,PASS,16,128,128,4,4,128,True,PASS,0.00133264,19485.1,0,1310720,1.7503,1.7762,1170082.43,0.1098,0.1149,18658891.91,15.947,8.938,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 16 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,5,PASS,128,128,128,4,4,128,True,PASS,0.00162899,762.5,0,10485760,1.7645,1.7869,9285455.23,0.2674,0.2692,61269670.67,6.598,5.719,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 128 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,6,PASS,10000,128,128,4,4,128,True,PASS,0.0018464,228814000.0,0,819200000,177.3715,177.4348,7216490.46,27.9875,28.2102,45734696.45,6.338,72.038,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 10000 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,7,PASS,64,128,32,4,4,32,True,PASS,0.00188218,211.236,0,1310720,1.7476,1.7877,4687700.34,0.1115,0.1169,73447138.19,15.668,11.053,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,8,PASS,64,128,1024,4,4,1024,True,PASS,0.00173044,2832.11,0,41943040,6.6249,6.6372,1236541.74,2.933,2.9446,2793082.72,2.259,9.922,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 1024 --heads 4 --ffn-dim 1024 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,9,PASS,64,128,128,1,4,128,True,PASS,0.00144446,403.684,0,5242880,1.5723,1.6053,5210241.26,0.1569,0.1573,52207607.15,10.02,9.455,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 1 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,10,PASS,64,128,128,2,4,128,True,PASS,0.00140238,832.298,0,5242880,1.7364,1.766,4717850.5,0.163,0.1635,50265070.71,10.654,7.126,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,11,PASS,64,128,128,16,4,128,True,PASS,0.00140238,10537.8,0,5242880,1.7625,1.7824,4648038.08,0.2548,0.2557,32148688.22,6.917,7.128,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 16 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,12,PASS,64,32,128,4,4,128,True,PASS,0.0013362,58.1861,0,1310720,1.7229,1.7421,1188674.17,0.1087,0.1128,18834608.43,15.845,7.373,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 32 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,13,PASS,64,1024,128,4,4,128,True,PASS,0.00149554,13688.6,0,41943040,41.8416,41.871,1566286.37,1.7538,1.7578,37368853.63,23.858,21.572,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 1024 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
